设备名,识别内容的名称,识别图像（矩形）左下角X值,识别图像（矩形）左下角Y值,识别图像（矩形）左上角X值,识别图像（矩形）左上角Y值,识别图像（矩形）右上角X值,识别图像（矩形）右上角Y值,识别图像（矩形）右下角X值,识别图像（矩形）右下角Y值
i5-12490F+RTX 2060s,足球,856,80,856,158,888,158,888,80
i5-12490F+RTX 2060s,足球,1012,158,1012,242,1045,242,1045,158
i5-12490F+RTX 2060s,红方队员,766,179,766,264,802,264,802,179
i5-12490F+RTX 2060s,足球,261,205,261,285,299,285,299,205
i5-12490F+RTX 2060s,红方队员,1408,185,1408,286,1447,286,1447,185
i5-12490F+RTX 2060s,足球,746,238,746,331,788,331,788,238
i5-12490F+RTX 2060s,红方队员,256,272,256,376,299,376,299,272
i5-12490F+RTX 2060s,足球,304,269,304,372,345,372,345,269
i5-12490F+RTX 2060s,红方队员,1811,300,1811,394,1851,394,1851,300
i5-12490F+RTX 2060s,足球,1547,340,1547,438,1590,438,1590,340
i5-12490F+RTX 2060s,蓝方队员,716,399,716,507,752,507,752,399
i5-12490F+RTX 2060s,足球,907,385,907,495,948,495,948,385
i5-12490F+RTX 2060s,红方队员,269,457,269,560,308,560,308,457
i5-12490F+RTX 2060s,足球,381,517,381,632,436,632,436,517
i5-12490F+RTX 2060s,足球,857,78,857,158,889,158,889,78
i5-12490F+RTX 2060s,足球,1010,157,1010,238,1044,238,1044,157
i5-12490F+RTX 2060s,红方队员,762,178,762,261,798,261,798,178
i5-12490F+RTX 2060s,足球,263,203,263,285,297,285,297,203
i5-12490F+RTX 2060s,红方队员,1402,189,1402,283,1443,283,1443,189
i5-12490F+RTX 2060s,足球,743,238,743,328,785,328,785,238
i5-12490F+RTX 2060s,红方队员,256,270,256,375,298,375,298,270
i5-12490F+RTX 2060s,足球,300,270,300,370,344,370,344,270
i5-12490F+RTX 2060s,红方队员,1802,298,1802,396,1843,396,1843,298
i5-12490F+RTX 2060s,足球,1544,333,1544,440,1585,440,1585,333
i5-12490F+RTX 2060s,蓝方队员,709,397,709,509,750,509,750,397
i5-12490F+RTX 2060s,足球,898,385,898,494,936,494,936,385
i5-12490F+RTX 2060s,红方队员,254,401,254,534,298,534,298,401
i5-12490F+RTX 2060s,红方队员,270,458,270,555,308,555,308,458
i5-12490F+RTX 2060s,足球,373,516,373,631,424,631,424,516
i5-12490F+RTX 2060s,足球,858,77,858,157,890,157,890,77
i5-12490F+RTX 2060s,足球,1004,154,1004,236,1041,236,1041,154
i5-12490F+RTX 2060s,红方队员,759,177,759,262,796,262,796,177
i5-12490F+RTX 2060s,足球,260,202,260,284,293,284,293,202
i5-12490F+RTX 2060s,红方队员,1395,191,1395,282,1434,282,1434,191
i5-12490F+RTX 2060s,足球,738,239,738,326,781,326,781,239
i5-12490F+RTX 2060s,红方队员,254,269,254,374,294,374,294,269
i5-12490F+RTX 2060s,足球,289,270,289,370,343,370,343,270
i5-12490F+RTX 2060s,红方队员,1797,294,1797,399,1836,399,1836,294
i5-12490F+RTX 2060s,足球,1542,330,1542,440,1582,440,1582,330
i5-12490F+RTX 2060s,足球,897,380,897,483,935,483,935,380
i5-12490F+RTX 2060s,蓝方队员,699,393,699,509,744,509,744,393
